uce,ominor,obimaculoides,lpealeii,ovulgaris,pcanaliculata
uce-31286,1,1,1,1,1
uce-34676,.,.,.,.,1
uce-18486,1,1,1,1,1
uce-39297,.,1,1,1,1
uce-38292,1,1,1,1,.
uce-25308,1,1,1,1,.
uce-25305,1,1,1,1,1
uce-34072,1,1,1,1,.
uce-8120,1,1,1,1,.
uce-10723,1,1,.,1,.
uce-21867,1,1,1,1,.
uce-18774,1,1,1,1,.
uce-21314,1,1,1,1,.
uce-3126,1,1,1,1,.
uce-21868,1,1,1,1,.
uce-22689,1,1,1,1,1
uce-22688,1,1,1,1,1
uce-12983,1,1,1,1,.
uce-392,1,1,1,1,.
uce-38590,1,1,1,1,1
uce-12986,1,1,1,1,1
uce-33862,.,1,1,1,1
uce-1740,.,.,.,.,.
uce-1741,.,.,.,.,1
uce-22685,1,1,1,1,.
uce-4291,1,1,1,1,.
uce-22687,1,1,1,1,.
uce-13109,1,1,1,1,1
uce-13630,1,1,1,1,1
uce-16062,1,1,1,1,.
uce-19605,.,1,1,1,1
uce-4290,1,1,1,1,.
uce-13635,1,1,1,1,1
uce-18734,1,1,1,1,1
uce-18735,1,1,1,1,.
uce-18736,1,1,1,1,.
uce-18730,1,1,1,1,.
uce-18731,1,1,1,1,.
uce-39742,1,1,.,1,1
uce-18733,1,1,1,1,1
uce-5085,1,1,1,1,.
uce-31593,.,.,1,.,.
uce-31592,.,.,1,.,.
uce-22950,1,1,.,1,1
uce-31599,1,1,1,1,.
uce-6018,1,1,1,1,.
uce-5089,1,.,1,1,.
uce-11850,1,1,1,1,.
uce-25411,1,1,1,1,1
uce-25410,1,1,1,1,1
uce-25412,1,1,1,1,.
uce-25415,1,1,1,1,.
uce-25414,.,1,1,1,.
uce-14233,1,1,1,1,1
uce-14232,.,1,1,1,1
uce-25419,1,1,1,1,.
uce-36456,1,1,1,1,1
uce-31352,1,1,1,1,1
uce-16412,.,.,.,.,.
uce-17026,.,1,.,1,.
uce-36818,1,1,1,1,1
uce-17023,1,1,1,.,.
uce-17022,1,1,1,.,.
uce-16513,1,1,1,1,1
uce-13030,1,1,1,1,.
uce-36816,1,1,1,1,.
uce-36811,1,1,1,1,.
uce-13037,1,1,1,1,.
uce-36813,1,.,1,1,.
uce-36812,.,.,.,.,.
uce-27307,1,1,1,1,.
uce-27306,1,1,1,.,1
uce-19518,1,1,1,1,.
uce-27303,1,1,1,1,.
uce-19048,1,1,1,1,.
uce-12764,1,1,1,1,1
uce-35974,1,1,1,1,.
uce-27308,1,1,1,1,.
uce-12273,1,1,1,1,1
uce-33604,.,.,.,.,.
uce-33603,.,1,1,1,1
uce-3940,.,.,.,.,.
uce-32734,1,1,1,1,.
uce-32735,1,1,1,1,1
uce-8337,1,1,1,1,.
uce-32730,1,1,.,1,1
uce-15634,1,1,1,1,.
uce-32732,1,1,1,1,.
uce-15290,1,1,1,1,1
uce-15292,1,1,1,1,1
uce-15295,1,1,1,1,.
uce-15488,1,1,1,1,.
uce-14340,1,1,1,1,.
uce-32774,1,1,1,1,.
uce-11298,1,1,1,1,1
uce-11299,1,1,1,1,1
uce-10459,1,1,1,1,.
uce-10458,1,1,1,1,1
uce-29708,1,1,1,1,.
uce-11986,1,1,1,1,.
uce-27234,1,1,1,1,.
uce-27155,1,1,1,1,.
uce-8920,1,1,1,1,.
uce-33648,1,1,1,1,1
uce-22069,1,1,.,1,1
uce-27548,1,1,1,1,.
uce-26544,1,1,1,1,1
uce-535,1,1,1,1,.
uce-22064,1,1,1,1,1
uce-27547,1,1,1,1,1
uce-536,1,1,1,1,.
uce-27541,1,1,.,1,1
uce-11277,1,1,1,1,.
uce-10097,1,1,1,1,.
