type,psi,value,lower_CI,upper_CI
gene,1,4.67,2.898550724637681,6.280193236714976
gene,2,2.42,1.288244766505636,3.7037037037037033
gene,3,1.77,0.8051529790660225,2.898550724637681
gene,4,91.14,88.88888888888889,93.23671497584542
site,1,30.79,26.827327498010682,35.24496987609412
site,2,40.45,35.92133681937024,45.24269637376378
site,3,28.76,24.09912470160282,32.97146754575423
site,4,0,0,0
quartet,1,39.87,35.909822866344605,44.12238325281804
quartet,2,33.71,29.790660225442835,37.52012882447665
quartet,3,26.41,23.027375201288244,29.629629629629626
quartet,4,0,0,0
