type,psi,value,lower_CI,upper_CI
gene,1,14.53,11.54562383612663,17.318435754189945
gene,2,0.74,0.186219739292365,1.48975791433892
gene,3,0.37,0,0.931098696461825
gene,4,84.36,81.56424581005587,87.33705772811918
site,1,47.1,19.66568338249754,78.66273352999016
site,2,26.58,0,58.99705014749262
site,3,26.32,0,58.99705014749262
site,4,0,0,0
quartet,1,46.3,41.899441340782126,50.46554934823091
quartet,2,27.07,23.277467411545626,31.098696461824954
quartet,3,26.63,23.09124767225326,30.54003724394786
quartet,4,0,0,0
