type,psi,value,lower_CI,upper_CI
gene,1,12.46,9.70873786407767,14.886731391585762
gene,2,5.99,4.207119741100324,7.6092233009708705
gene,3,3.72,2.4271844660194173,5.177993527508091
gene,4,77.83,74.75728155339806,81.3915857605178
site,1,35.38,27.59312680295999,42.016806722689076
site,2,34.18,26.33889376646181,41.38969020443998
site,3,30.44,23.830427693465445,37.62699109494544
site,4,0,0,0
quartet,1,35.93,32.200647249190936,39.64401294498382
quartet,2,36.16,32.362459546925564,40.1294498381877
quartet,3,27.9,24.433656957928804,31.3915857605178
quartet,4,0,0,0
