type,psi,value,lower_CI,upper_CI
gene,1,32.42,28.498293515358363,36.3481228668942
gene,2,3.75,2.3890784982935154,5.290102389078498
gene,3,1.71,0.6825938566552902,2.7303754266211606
gene,4,62.12,58.19112627986348,66.04095563139933
site,1,33.16,18.86347559537845,47.15868898844612
site,2,38.58,23.57934449422306,54.232492336713044
site,3,28.26,14.147606696533838,42.44282008960151
site,4,0,0,0
quartet,1,55.72,51.87375211181079,59.55733032986911
quartet,2,23.21,19.961944743084352,26.450963327019235
quartet,3,21.08,18.084779603747503,24.57379818768238
quartet,4,0,0,0
