type,psi,value,lower_CI,upper_CI
gene,1,46.14,42.18455743879473,50.470809792843696
gene,2,4.33,2.6365348399246704,6.214689265536723
gene,3,4.14,2.6365348399246704,6.0263653483992465
gene,4,45.39,41.049905838041425,49.53389830508474
site,1,44.58,37.81991503471143,51.80810278727592
site,2,30.33,23.83172728214693,36.78375297896591
site,3,25.09,19.16899803129209,31.084861672365555
site,4,0,0,0
quartet,1,60.06,56.12158421062543,64.03604587657018
quartet,2,25.26,21.657658336315183,29.00713761087779
quartet,3,14.69,12.052957682818885,17.70278159664024
quartet,4,0,0,0
