type,psi,value,lower_CI,upper_CI
gene,1,44.78,38.43283582089552,50.74626865671642
gene,2,18.66,14.17910447761194,23.507462686567166
gene,3,11.57,8.199626865671643,15.671641791044777
gene,4,25,19.776119402985074,30.223880597014922
site,1,38.85,34.544095279832945,43.57325152741615
site,2,34.46,29.64605191925962,38.926555128766985
site,3,26.7,22.1700910004898,31.192802454177514
site,4,0,0,0
quartet,1,54.82,49.24440298507463,60.4570895522388
quartet,2,27.07,22.388059701492537,32.46268656716418
quartet,3,18.11,13.805970149253731,23.134328358208954
quartet,4,0,0,0
