type,psi,value,lower_CI,upper_CI
gene,1,4.86,3.063063063063063,6.666666666666667
gene,2,0.54,0,1.2612612612612613
gene,3,0.36,0,0.9009009009009009
gene,4,94.23,92.43243243243244,96.03603603603604
site,1,59.73,44.03004403004403,75.11007511007512
site,2,20.27,7.770007770007769,33.670033670033675
site,3,20,7.770007770007769,33.670033670033675
site,4,0,0,0
quartet,1,36.67,32.432432432432435,40.72072072072072
quartet,2,33.2,29.18918918918919,37.2972972972973
quartet,3,30.13,26.126126126126124,33.87387387387387
quartet,4,0,0,0
