type,psi,value,lower_CI,upper_CI
gene,1,0.66,0.16420361247947454,1.3136288998357963
gene,2,0.49,0,1.1494252873563218
gene,3,0.33,0,0.8210180623973727
gene,4,98.52,97.53694581280789,99.3431855500821
site,1,61.45,54.38001399881549,68.37882948365908
site,2,19.78,13.998815484843592,26.382383029128302
site,3,18.77,12.921983524471006,24.767135088569432
site,4,0,0,0
quartet,1,33.05,29.392929276342795,36.78631833035025
quartet,2,33.49,29.885548202761953,37.44314356557579
quartet,3,33.46,29.885548202761953,37.43903840785563
quartet,4,0,0,0
