type,psi,value,lower_CI,upper_CI
gene,1,10.56,8.27024647887324,13.204225352112676
gene,2,7.75,5.629401408450704,9.863556338028165
gene,3,6.69,4.753521126760563,8.80281690140845
gene,4,75,71.30281690140845,78.34507042253522
site,1,41.24,38.98987035676477,43.33155924771056
site,2,37.65,35.46242891605297,40.0919246322147
site,3,21.11,19.148554602305925,23.19809787167576
site,4,0,0,0
quartet,1,34.52,30.986461029243472,38.56141833482983
quartet,2,33.01,28.869346291307945,36.80082395816827
quartet,3,32.48,28.34556946425113,36.09658620750365
quartet,4,0,0,0
