type,psi,value,lower_CI,upper_CI
gene,1,3.22,1.932367149758454,4.669887278582931
gene,2,8.53,6.44122383252818,10.789049919484702
gene,3,2.74,1.4492753623188406,4.025764895330113
gene,4,85.51,82.6086956521739,88.08373590982286
site,1,42.3,34.58990443806062,49.24664360673038
site,2,33.75,26.96840007035235,41.625139239022104
site,3,23.95,18.174356569150497,31.072287037579883
site,4,0,0,0
quartet,1,27.95,24.476650563607087,31.40096618357488
quartet,2,42.21,38.486312399355874,46.2157809983897
quartet,3,29.84,26.24396135265701,33.33735909822866
quartet,4,0,0,0
