type,psi,value,lower_CI,upper_CI
gene,1,8.29,6.178861788617886,10.569105691056912
gene,2,1.14,0.3252032520325203,2.113821138211382
gene,3,0.16,0,0.4878048780487805
gene,4,90.41,88.12601626016259,92.6829268292683
site,1,57.93,50.27709535508199,65.13169170999257
site,2,22.16,15.997257612980631,27.995200822716104
site,3,19.92,14.283265725875562,25.724161572301877
site,4,0,0,0
quartet,1,45.89,41.947154471544714,49.91869918699187
quartet,2,29.18,25.528455284552848,32.84552845528455
quartet,3,24.93,21.788617886178862,28.13008130081301
quartet,4,0,0,0
