type,psi,value,lower_CI,upper_CI
gene,1,35.17,31.60453808752026,39.05996758508914
gene,2,4.54,3.075364667747164,6.158833063209076
gene,3,3.73,2.2690437601296596,5.348460291734198
gene,4,56.56,52.51215559157212,60.45380875202593
site,1,39.09,33.34237971542667,44.98313495909742
site,2,39.67,33.73008180514093,45.7488465862831
site,3,21.23,16.28348776799907,26.751444190284186
site,4,0,0,0
quartet,1,60.73,56.88816855753647,64.6677471636953
quartet,2,19.64,16.369529983792543,22.690437601296594
quartet,3,19.64,16.53160453808752,22.690437601296594
quartet,4,0,0,0
