type,psi,value,lower_CI,upper_CI
gene,1,56.18,52.28426395939086,60.06768189509306
gene,2,0.51,0,1.1844331641285957
gene,3,0.34,0,0.8460236886632826
gene,4,42.98,39.08629441624365,46.86971235194585
site,1,34.4,25.814491721559552,43.61758946056614
site,2,43.58,34.71604059106284,53.40929321701976
site,3,22.02,14.242478191205269,29.375111269360865
site,4,0,0,0
quartet,1,78.83,75.63451776649747,82.06429780033841
quartet,2,11.11,8.79864636209814,13.874788494077833
quartet,3,10.06,7.614213197969544,12.351945854483926
quartet,4,0,0,0
