type,psi,value,lower_CI,upper_CI
gene,1,7.42,5.194805194805195,9.647495361781075
gene,2,0.74,0.1855287569573284,1.6697588126159555
gene,3,0.56,0,1.2987012987012987
gene,4,91.28,88.86363636363636,93.69202226345084
site,1,25.88,19.64885592951765,33.59320529885276
site,2,43.07,34.860873423337765,50.706724979400384
site,3,31.06,24.085694365215186,38.6638777967928
site,4,0,0,0
quartet,1,41.86,37.84786641929499,46.2012987012987
quartet,2,29.58,25.60296846011132,33.024118738404454
quartet,3,28.56,24.860853432282003,32.6530612244898
quartet,4,0,0,0
