type,psi,value,lower_CI,upper_CI
gene,1,8.78,6.451612903225806,11.115591397849458
gene,2,15.05,12.186379928315413,18.104838709677416
gene,3,5.91,4.296594982078853,7.885304659498208
gene,4,70.25,66.48745519713262,74.01433691756273
site,1,34.45,30.77446229703307,38.425571707897646
site,2,33.79,29.75431437558446,37.74972370993794
site,3,31.76,28.224092493411547,35.53515259712658
site,4,0,0,0
quartet,1,27.02,23.1178652712317,30.644612103725738
quartet,2,45.17,41.217899320800704,49.28227092704432
quartet,3,27.81,24.193114818730848,31.540653393308364
quartet,4,0,0,0
