type,psi,value,lower_CI,upper_CI
gene,1,14.31,11.842105263157894,17.269736842105264
gene,2,3.95,2.4671052631578947,5.592105263157895
gene,3,1.81,0.8223684210526315,2.9605263157894735
gene,4,79.93,76.48026315789474,83.05921052631578
site,1,49.2,28.02690582959641,72.86995515695067
site,2,31.01,11.210762331838566,56.05381165919282
site,3,19.8,5.605381165919283,44.843049327354265
site,4,0,0,0
quartet,1,50.88,46.71129459366108,55.099590453790356
quartet,2,26.48,22.858106218852285,30.26365565223112
quartet,3,22.64,19.572690340301648,25.987269527459333
quartet,4,0,0,0
