"AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
181387,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=181387","Bathypolypus pugniger","Muus, 2002","accepted",NA,220,"Species",181387,"Bathypolypus pugniger","Muus, 2002",138265,"Animalia","Mollusca","Cephalopoda","Octopoda","Bathypolypodidae","Bathypolypus","MolluscaBase eds. (2025). MolluscaBase. Bathypolypus pugniger Muus, 2002. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=181387 on 2025-06-19","urn:lsid:marinespecies.org:taxname:181387",1,NA,0,0,NA,"exact","2018-02-07T15:28:10.423Z"
457664,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=457664","Bathypolypus rubrostictus","Kaneko & Kubodera, 2008","accepted",NA,220,"Species",457664,"Bathypolypus rubrostictus","Kaneko & Kubodera, 2008",138265,"Animalia","Mollusca","Cephalopoda","Octopoda","Bathypolypodidae","Bathypolypus","MolluscaBase eds. (2025). MolluscaBase. Bathypolypus rubrostictus Kaneko & Kubodera, 2008. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=457664 on 2025-06-19","urn:lsid:marinespecies.org:taxname:457664",1,NA,0,0,NA,"exact","2018-02-07T15:28:10.423Z"
140598,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=140598","Bathypolypus sponsalis","(P. Fischer & H. Fischer, 1892)","accepted",NA,220,"Species",140598,"Bathypolypus sponsalis","(P. Fischer & H. Fischer, 1892)",138265,"Animalia","Mollusca","Cephalopoda","Octopoda","Bathypolypodidae","Bathypolypus","MolluscaBase eds. (2025). MolluscaBase. Bathypolypus sponsalis (P. Fischer & H. Fischer, 1892). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140598 on 2025-06-19","urn:lsid:marinespecies.org:taxname:140598",1,NA,0,0,NA,"exact","2020-03-27T15:25:42.920Z"
341910,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=341910","Bathypolypus valdiviae","(Thiele, 1915)","accepted",NA,220,"Species",341910,"Bathypolypus valdiviae","(Thiele, 1915)",138265,"Animalia","Mollusca","Cephalopoda","Octopoda","Bathypolypodidae","Bathypolypus","MolluscaBase eds. (2025). MolluscaBase. Bathypolypus valdiviae (Thiele, 1915). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=341910 on 2025-06-19","urn:lsid:marinespecies.org:taxname:341910",1,NA,0,0,NA,"exact","2022-08-29T07:11:35.950Z"
138848,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=138848","Bathyteuthis abyssicola","Hoyle, 1885","accepted",NA,220,"Species",138848,"Bathyteuthis abyssicola","Hoyle, 1885",137694,"Animalia","Mollusca","Cephalopoda","Bathyteuthida","Bathyteuthidae","Bathyteuthis","MolluscaBase eds. (2025). MolluscaBase. Bathyteuthis abyssicola Hoyle, 1885. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138848 on 2025-06-19","urn:lsid:marinespecies.org:taxname:138848",1,NA,0,0,NA,"exact","2016-06-05T01:28:00.760Z"
341788,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=341788","Bathyteuthis bacidifera","Roper, 1968","accepted",NA,220,"Species",341788,"Bathyteuthis bacidifera","Roper, 1968",137694,"Animalia","Mollusca","Cephalopoda","Bathyteuthida","Bathyteuthidae","Bathyteuthis","MolluscaBase eds. (2025). MolluscaBase. Bathyteuthis bacidifera Roper, 1968. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=341788 on 2025-06-19","urn:lsid:marinespecies.org:taxname:341788",1,NA,0,0,NA,"exact","2016-06-05T01:28:00.760Z"
341789,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=341789","Bathyteuthis berryi","Roper, 1968","accepted",NA,220,"Species",341789,"Bathyteuthis berryi","Roper, 1968",137694,"Animalia","Mollusca","Cephalopoda","Bathyteuthida","Bathyteuthidae","Bathyteuthis","MolluscaBase eds. (2025). MolluscaBase. Bathyteuthis berryi Roper, 1968. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=341789 on 2025-06-19","urn:lsid:marinespecies.org:taxname:341789",1,NA,0,0,NA,"exact","2016-06-05T01:28:00.760Z"
1435101,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1435101","Bathyteuthis devoleii","Judkins, Lindgren, Villanueva, K. Clark & Vecchione, 2020","accepted",NA,220,"Species",1435101,"Bathyteuthis devoleii","Judkins, Lindgren, Villanueva, K. Clark & Vecchione, 2020",137694,"Animalia","Mollusca","Cephalopoda","Bathyteuthida","Bathyteuthidae","Bathyteuthis","MolluscaBase eds. (2025). MolluscaBase. Bathyteuthis devoleii Judkins, Lindgren, Villanueva, K. Clark & Vecchione, 2020. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1435101 on 2025-06-19","urn:lsid:marinespecies.org:taxname:1435101",1,0,0,0,0,"exact","2020-05-19T05:06:20.343Z"
1435097,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1435097","Bathyteuthis inopinata","Judkins, Lindgren, Villanueva, K. Clark & Vecchione, 2020","accepted",NA,220,"Species",1435097,"Bathyteuthis inopinata","Judkins, Lindgren, Villanueva, K. Clark & Vecchione, 2020",137694,"Animalia","Mollusca","Cephalopoda","Bathyteuthida","Bathyteuthidae","Bathyteuthis","MolluscaBase eds. (2025). MolluscaBase. Bathyteuthis inopinata Judkins, Lindgren, Villanueva, K. Clark & Vecchione, 2020. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1435097 on 2025-06-19","urn:lsid:marinespecies.org:taxname:1435097",1,0,0,0,0,"exact","2020-05-19T05:06:20.343Z"
1435103,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1435103","Bathyteuthis numerosa","Judkins, Lindgren, Villanueva, K. Clark & Vecchione, 2020","accepted",NA,220,"Species",1435103,"Bathyteuthis numerosa","Judkins, Lindgren, Villanueva, K. Clark & Vecchione, 2020",137694,"Animalia","Mollusca","Cephalopoda","Bathyteuthida","Bathyteuthidae","Bathyteuthis","MolluscaBase eds. (2025). MolluscaBase. Bathyteuthis numerosa Judkins, Lindgren, Villanueva, K. Clark & Vecchione, 2020. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1435103 on 2025-06-19","urn:lsid:marinespecies.org:taxname:1435103",1,0,0,0,0,"exact","2020-05-19T05:06:20.343Z"
